id,label,artist,src
95,肆无忌惮,薛之谦,薛之谦 - 肆无忌惮.mp3
96,十二生肖,王力宏,王力宏 - 十二生肖.mp3
97,かたわれ時,RADWIMPS,RADWIMPS - かたわれ時.mp3
98,Sorry,Justin Bieber,Justin Bieber - Sorry.mp3
99,笑忘书 (Live),李荣浩,李荣浩 - 笑忘书 (Live).mp3
100,We Can't Stop,Boyce Avenue Bea Miller,Boyce Avenue Bea Miller - We Can't Stop.mp3
101,树读,王俊凯,王俊凯 - 树读.mp3
102,Lonely Christmas,陈奕迅,陈奕迅 - Lonely Christmas.mp3
103,明年今日,陈奕迅,陈奕迅 - 明年今日.mp3
104,一点点,周杰伦,周杰伦 - 一点点.mp3
105,春泥,庾澄庆,庾澄庆 - 春泥.mp3
106,末班车 (Live),林俊杰,林俊杰 - 末班车 (Live).mp3
107,剪云者,林俊杰,林俊杰 - 剪云者.mp3
108,Sleep,王源,王源 - Sleep.mp3
109,追风筝的孩子 (Live),林俊杰,林俊杰 - 追风筝的孩子 (Live).mp3
110,你还要我怎样,薛之谦,薛之谦 - 你还要我怎样.mp3
111,小幸运,田馥甄,田馥甄 - 小幸运.mp3
112,王妃,萧敬腾,萧敬腾 - 王妃.mp3
113,残酷月光,林宥嘉,林宥嘉 - 残酷月光.mp3
114,你不是真正的快乐 (Live),五月天,五月天 - 你不是真正的快乐 (Live).mp3
115,当你,回音哥,回音哥 - 当你.mp3
116,不斩无名,KBShinya,KBShinya - 不斩无名.mp3
117,摩天大楼,薛之谦,薛之谦 - 摩天大楼.mp3
118,勋章,鹿晗,鹿晗 - 勋章.mp3
119,郭顶,水星记,水星记-郭顶.mp3
120,江南,林俊杰,林俊杰 - 江南.mp3
121,凤凰于飞 (Live),林俊杰,林俊杰 - 凤凰于飞 (Live).mp3
122,我看着你的时候,李荣浩,李荣浩 - 我看着你的时候.mp3
123,高尚,薛之谦,薛之谦 - 高尚.mp3
124,醒来 (Live),薛之谦、岳云鹏,薛之谦、岳云鹏 - 醒来 (Live).mp3
125,两个人,李荣浩,李荣浩 - 两个人.mp3
126,茉莉雨,林俊杰,林俊杰 - 茉莉雨.mp3
127,红玫瑰,陈奕迅,陈奕迅 - 红玫瑰.mp3
128,丹宁执着,林俊杰,林俊杰 - 丹宁执着.mp3
129,我还想她,林俊杰,林俊杰 - 我还想她.mp3
130,夜的第七章,周杰伦,周杰伦 - 夜的第七章.mp3
131,天涯过客,周杰伦,周杰伦 - 天涯过客.mp3
132,兰亭序,周杰伦,周杰伦 - 兰亭序.mp3
133,一次就好,杨宗纬,杨宗纬 - 一次就好.mp3
134,にめんせい☆ウラオモテライフ!,田中あいみ,田中あいみ - にめんせい☆ウラオモテライフ!.mp3
135,一生中最爱 (Live),羽·泉,羽·泉 - 一生中最爱 (Live).mp3
136,祝你幸福,李荣浩,李荣浩 - 祝你幸福.mp3
137,醉赤壁,林俊杰,林俊杰 - 醉赤壁.mp3
138,将故事写成我们,林俊杰,林俊杰 - 将故事写成我们.mp3
